id,state,created_at,attempt_id,attempt_number,attempt_state,leased_at,started_at,finished_at,scheduling_latency_seconds,runtime_seconds
cf173456-0057-4dbc-bb0a-237940a36376,SUCCEEDED,2026-09-14 03:24:13.850944+00,3a2328e4-3c9d-42c7-b6cd-84b85399f808,1,SUCCEEDED,2026-09-14 03:24:16.779196+00,2026-09-14 03:24:16.781804+00,2026-09-14 03:24:16.894648+00,2.928252,0.112844
e3e7645e-038a-4d11-bfdf-616a91183e98,SUCCEEDED,2026-09-14 03:24:13.851116+00,c4cb7545-c24a-499b-bd4e-5c26df49d93d,1,SUCCEEDED,2026-09-14 03:24:16.780742+00,2026-09-14 03:24:16.782651+00,2026-09-14 03:24:16.895427+00,2.929626,0.112776
5968a6a5-ce0d-4dbc-96bf-86dfb0adda57,SUCCEEDED,2026-09-14 03:24:13.851306+00,aefee158-5527-4e9c-bcbf-c47b13ec2c55,1,SUCCEEDED,2026-09-14 03:24:16.798788+00,2026-09-14 03:24:16.800943+00,2026-09-14 03:24:16.91309+00,2.947482,0.112147
38c3c9f7-bfba-4d39-ab85-42241e1178e1,SUCCEEDED,2026-09-14 03:24:13.851504+00,935b8c61-c2f2-4596-9e2b-ce21c9aa3865,1,SUCCEEDED,2026-09-14 03:24:16.800105+00,2026-09-14 03:24:16.80193+00,2026-09-14 03:24:16.91381+00,2.948601,0.111880
d0c8a6f9-6d72-4f7d-abab-2fe92155199d,SUCCEEDED,2026-09-14 03:24:13.851699+00,db5e9af5-f30f-4189-8627-8c13bf0603bf,1,SUCCEEDED,2026-09-14 03:24:16.846954+00,2026-09-14 03:24:16.849361+00,2026-09-14 03:24:16.964325+00,2.995255,0.114964
563c3ab9-7f04-4688-95b1-ad1a077e6f1f,SUCCEEDED,2026-09-14 03:24:13.851947+00,1af073eb-35db-48de-9436-6cea6db919dc,1,SUCCEEDED,2026-09-14 03:24:16.848467+00,2026-09-14 03:24:16.850162+00,2026-09-14 03:24:16.965308+00,2.996520,0.115146
86f13b33-5dd3-4154-8ce6-4e96e834e252,SUCCEEDED,2026-09-14 03:24:13.852132+00,128f2bcb-0931-41ee-8be7-5d92669082ca,1,SUCCEEDED,2026-09-14 03:24:16.966537+00,2026-09-14 03:24:16.969154+00,2026-09-14 03:24:17.084576+00,3.114405,0.115422
283bc599-509e-4255-b853-c6df8dcf7465,SUCCEEDED,2026-09-14 03:24:13.85231+00,58d84b38-3c00-4a84-bda2-f32eceb8c726,1,SUCCEEDED,2026-09-14 03:24:16.968271+00,2026-09-14 03:24:16.969945+00,2026-09-14 03:24:17.083437+00,3.115961,0.113492
52c56273-3579-4baa-ad4c-9d7660667c0a,SUCCEEDED,2026-09-14 03:24:13.85254+00,b7a72e13-c898-4a9d-b172-9f89e32ee0ff,1,SUCCEEDED,2026-09-14 03:24:16.983814+00,2026-09-14 03:24:16.98628+00,2026-09-14 03:24:17.099208+00,3.131274,0.112928
3e0e214c-3dec-4c0e-a2a2-0b07067e9ad6,SUCCEEDED,2026-09-14 03:24:13.852726+00,d05d335f-fc2d-4e1e-9d82-c97097d5b037,1,SUCCEEDED,2026-09-14 03:24:16.98527+00,2026-09-14 03:24:16.987049+00,2026-09-14 03:24:17.099932+00,3.132544,0.112883
e54efd87-92bb-4673-b7af-0098589b4164,SUCCEEDED,2026-09-14 03:24:13.852907+00,9dbbad30-1526-4c42-ab8e-41b92010684e,1,SUCCEEDED,2026-09-14 03:24:17.005808+00,2026-09-14 03:24:17.008167+00,2026-09-14 03:24:17.122212+00,3.152901,0.114045
0d897563-7bc5-4a40-af75-bf3d132f72df,SUCCEEDED,2026-09-14 03:24:13.853072+00,2ef3543f-815d-4306-9575-a28928d612c3,1,SUCCEEDED,2026-09-14 03:24:17.007305+00,2026-09-14 03:24:17.009016+00,2026-09-14 03:24:17.121322+00,3.154233,0.112306
f1843e38-b51a-4ed9-bceb-3f9221f40248,SUCCEEDED,2026-09-14 03:24:13.853236+00,cc124bf3-e2a5-4346-8f56-7c4f4b3622b1,1,SUCCEEDED,2026-09-14 03:24:17.053275+00,2026-09-14 03:24:17.056533+00,2026-09-14 03:24:17.176103+00,3.200039,0.119570
b8df947f-20ad-4a03-bc3f-2c5b4b92d227,SUCCEEDED,2026-09-14 03:24:13.853402+00,0184c6e4-4b67-4399-b389-a4ec2bf591cf,1,SUCCEEDED,2026-09-14 03:24:17.05548+00,2026-09-14 03:24:17.05738+00,2026-09-14 03:24:17.177786+00,3.202078,0.120406
cdc3f400-03c4-4f2a-b320-d0688b0d5928,SUCCEEDED,2026-09-14 03:24:13.853605+00,141befb8-c8a0-4e33-880f-f34d76b77955,1,SUCCEEDED,2026-09-14 03:24:17.171545+00,2026-09-14 03:24:17.176702+00,2026-09-14 03:24:17.29167+00,3.317940,0.114968
b70eb5cb-f34c-4e5b-8ded-b3b9883be261,SUCCEEDED,2026-09-14 03:24:13.853784+00,ee8704b2-0b5a-4e37-a904-8b9d3e11031c,1,SUCCEEDED,2026-09-14 03:24:17.174907+00,2026-09-14 03:24:17.178314+00,2026-09-14 03:24:17.292515+00,3.321123,0.114201
0ee16ebe-08ef-43e1-9d8c-4f5a56ee765d,SUCCEEDED,2026-09-14 03:24:13.853961+00,ca027706-2b00-4b7c-9701-25c945a0d242,1,SUCCEEDED,2026-09-14 03:24:17.188095+00,2026-09-14 03:24:17.191451+00,2026-09-14 03:24:17.305363+00,3.334134,0.113912
01f4966c-687e-4a9d-9ccb-381903869ef0,SUCCEEDED,2026-09-14 03:24:13.854126+00,73fe7977-e694-48e9-bfc1-4b200f5eb0bf,1,SUCCEEDED,2026-09-14 03:24:17.190319+00,2026-09-14 03:24:17.192983+00,2026-09-14 03:24:17.306191+00,3.336193,0.113208
6a47fe7f-2556-4c03-8d7a-6554cdb0bccd,SUCCEEDED,2026-09-14 03:24:13.8543+00,763bd38d-89b6-496d-bcca-dfc1e80a80f1,1,SUCCEEDED,2026-09-14 03:24:17.209537+00,2026-09-14 03:24:17.212586+00,2026-09-14 03:24:17.326421+00,3.355237,0.113835
9f6d2b25-6b30-4a90-8776-f5b608416ff5,SUCCEEDED,2026-09-14 03:24:13.854472+00,49c4d0c1-a83f-4d60-932a-2002fdedcc25,1,SUCCEEDED,2026-09-14 03:24:17.211373+00,2026-09-14 03:24:17.214566+00,2026-09-14 03:24:17.327223+00,3.356901,0.112657
b40fdb45-5221-4078-a597-bc192ba82bd3,SUCCEEDED,2026-09-14 03:24:13.854662+00,279cfdb6-a82a-47e5-9943-d1bd3124af5f,1,SUCCEEDED,2026-09-14 03:24:17.260458+00,2026-09-14 03:24:17.263215+00,2026-09-14 03:24:17.379367+00,3.405796,0.116152
0af94c5d-e66e-44bf-bf65-937bc8cb826f,SUCCEEDED,2026-09-14 03:24:13.854841+00,92b5d8b3-b59b-4099-ac10-744b844fa258,1,SUCCEEDED,2026-09-14 03:24:17.262186+00,2026-09-14 03:24:17.263998+00,2026-09-14 03:24:17.378468+00,3.407345,0.114470
67318c04-a5f4-4735-9f86-c3eaa10f2826,SUCCEEDED,2026-09-14 03:24:13.85504+00,702212b8-3580-4fdb-ae10-2cb6fbd08e09,1,SUCCEEDED,2026-09-14 03:24:17.378742+00,2026-09-14 03:24:17.381643+00,2026-09-14 03:24:17.501275+00,3.523702,0.119632
054866cc-8557-42b5-9180-6d06aacbe3ed,SUCCEEDED,2026-09-14 03:24:13.855206+00,6eb2dc3a-583a-43d8-ada0-83a4d9d10cbd,1,SUCCEEDED,2026-09-14 03:24:17.38076+00,2026-09-14 03:24:17.382474+00,2026-09-14 03:24:17.499481+00,3.525554,0.117007
39512b65-d92c-4a2b-ae5f-fef83699e096,SUCCEEDED,2026-09-14 03:24:13.855378+00,b71ec454-11ed-4579-8258-17c8f735fbb6,1,SUCCEEDED,2026-09-14 03:24:17.393029+00,2026-09-14 03:24:17.39548+00,2026-09-14 03:24:17.513923+00,3.537651,0.118443
